id,first_name,last_name,height,weight,birth_date,position,team,number,active,photo_url,latest_price,latest_price_updated,day_start_price,day_start_price_updated,last_modified
184,David,Harris,"6'2"",250,"1984-01-21 00:00:00",LB,NULL,45,0,https://s3-us-west-2.amazonaws.com/static.fan,0,NULL,0,NULL,NULL
292,Brandon,Mebane,"6'1"",311,"1985-01-15 10:00:00",DT,NULL,NULL,0,https://s3-us-west-2.amazonaws.com/static.fan,0,NULL,0,NULL,NULL
430,Sam,Koch,"6'1"",222,"1982-08-13 00:00:00",P,BAL,4,1,https://s3-us-west-2.amazonaws.com/static.fan,-10,"2022-07-02 01:55:00",-10,"2022-07-02 00:00:00",NULL
549,Matt,Prater,"5'10"",201,"1984-08-10 04:00:00",K,DET,5,1,https://s3-us-west-2.amazonaws.com/static.fan,-5.34,"2022-07-02 01:55:00",-5.34,"2022-07-02 00:00:00",NULL
611,Joe,Flacco,"6'6"",245,"1985-01-16 00:00:00",QB,NYJ,5,1,https://s3-us-west-2.amazonaws.com/static.fan,-5.34,"2022-07-02 01:55:00",-5.34,"2022-07-02 00:00:00",NULL
722,Jason,Witten,"6'6"",263,"1982-05-06 00:00:00",TE,LV,82,1,https://s3-us-west-2.amazonaws.com/static.fan,-10,"2022-07-02 01:55:00",-10,"2022-07-02 00:00:00",NULL
732,Matt,Ryan,"6'4"",217,"1985-05-17 08:00:00",QB,ATL,2,1,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/732.png,15.26,"2022-07-02 01:55:00",15.26,"2022-07-02 00:00:00",NULL
1214,Frostee,Rucker,"6'3"",280,"1983-09-14 00:00:00",DE,NULL,98,0,https://s3-us-west-2.amazonaws.com/static.fan,0,NULL,0,NULL,NULL
1410,Robbie,Gould,"6'0"",190,"1982-12-06 00:00:00",K,SF,9,1,https://s3-us-west-2.amazonaws.com/static.fan,-5.34,"2022-07-02 01:55:00",-5.34,"2022-07-02 00:00:00",NULL
1658,Greg,Olsen,"6'5"",255,"1985-03-11 00:00:00",TE,SEA,88,1,https://s3-us-west-2.amazonaws.com/static.fan,-9.74,"2022-07-02 01:55:00",-9.74,"2022-07-02 00:00:00",NULL
1694,Mason,Crosby,"6'1"",207,"1984-09-03 00:00:00",K,GB,2,1,https://s3-us-west-2.amazonaws.com/static.fan,-5.34,"2022-07-02 01:55:00",-5.34,"2022-07-02 00:00:00",NULL
2405,Chad,Henne,"6'3"",222,"1985-07-02 04:00:00",QB,KC,4,1,https://s3-us-west-2.amazonaws.com/static.fan,-10,"2022-07-02 01:55:00",-10,"2022-07-02 00:00:00",NULL
2593,Aaron,Rodgers,"6'2"",225,"1983-12-02 00:00:00",QB,GB,12,1,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nfl/low-res/2593.png,21.51,"2022-07-02 01:55:00",21.51,"2022-07-02 00:00:00",NULL
2760,Brandon,Carr,"6'0"",210,"1986-05-19 00:00:00",CB,DAL,39,1,https://s3-us-west-2.amazonaws.com/static.fan,-10,"2022-07-02 01:55:00",-10,"2022-07-02 00:00:00",NULL
2982,Stephen,Gostkowski,"6'1"",215,"1984-01-28 00:00:00",K,TEN,3,1,https://s3-us-west-2.amazonaws.com/static.fan,-5.34,"2022-07-02 01:55:00",-5.34,"2022-07-02 00:00:00",NULL
